country,Happiness_Score,Life_Satis,Pos_Emotion,Neg_Emotion,GDP_per_capita,Healthy_Life_Exp,Life_Freedom,Social_Support,Govt_Conf,Generosity,Percep_Corruption
Botswana,3.4883999824523904,3.46136569976807,0.729643225669861,0.267083704471588,1.0409445762634302,0.538402438163757,0.6365321427583696,0.9701268374919909,0.7187881469726559,-0.11704554036259651,0.453491497784853
Brazil,6.299799919128421,6.190921783447269,0.7497278451919559,0.349656254053116,1.00413811206818,0.801733672618866,0.570234939455986,1.160201728343963,0.168186649680138,-0.013550549745559942,0.4244552627205849
Bulgaria,5.01100015640259,5.09881353378296,0.639021873474121,0.189090982079506,1.09151208400726,0.8149205446243291,0.5175602436065675,1.2186391949653623,0.218995898962021,-0.04918665066361414,0.47818773961626
Burkina Faso,4.58680009841919,4.9272360801696795,0.7108835577964779,0.342865526676178,0.3308998346328739,0.37997090816497797,0.4876405894756315,0.860388070344926,0.6222550868988039,0.08646979858167453,0.435286995023489
Cameroon,5.043700218200679,5.25073766708374,0.642436504364014,0.35564240813255293,0.5489600300788879,0.330502897500992,0.5986428409814835,0.7934679388999941,0.645226299762726,0.10968961752951163,0.4606128856539726
Canada,7.27810001373291,7.17549657821655,0.8236686587333679,0.25939765572547896,1.3648960590362502,1.0388115644454998,0.7648673951625821,1.2137298583984348,0.61046689748764,0.19149323925375936,0.33988937735557545
Chad,4.349500179290771,4.48632526397705,0.552737295627594,0.543836236000061,0.349959969520569,0.191834211349487,0.4120471477508545,0.6718496978282931,0.577436029911041,0.10479653114452939,0.42050685361027734
Chile,6.4439997673034695,6.43622064590454,0.8325622081756591,0.275820225477219,1.1589353084564198,0.92027735710144,0.57255844771862,1.1294191777706148,0.33474415540695196,0.0579986199736594,0.43620227649807924
Colombia,6.12480020523071,5.98351240158081,0.825455188751221,0.30062410235404996,0.985325396060944,0.84126615524292,0.6602053642272945,1.14032730460167,0.274869501590729,-0.028200339525937902,0.44447440281510336
Comoros,3.9728000164032,3.9728195667266806,0.74774158000946,0.33749365806579606,0.274484246969223,0.5054179430007929,0.3509118109941485,0.689218431711197,0.31727370619773904,0.20557974278926852,0.4359284676611425
Congo (Brazzaville),4.81150007247925,5.49021434783936,0.587506592273712,0.447646170854568,0.672649919986725,0.508152842521667,0.535267636179924,0.709745556116104,0.473673611879349,-0.0097793079912665,0.41533458232879655
Costa Rica,7.16739988327026,7.14107465744019,0.870097815990448,0.32586663961410495,1.03424954414368,0.963105738162994,0.7499618530273435,1.1584965884685536,0.47997778654098494,0.020100995898247008,0.43738620355725305
Croatia,5.43179988861084,5.53627109527588,0.5820441246032709,0.290375977754593,1.1546821594238301,0.913788199424744,0.493506655097008,1.0877946019172684,0.248180910944939,-0.016552697867155,0.473740612156689
Cyprus,6.04580020904541,6.276443004608151,0.750122487545013,0.298021137714386,1.26315593719482,1.0421561002731299,0.6000110507011415,1.024329543113708,0.35244044661521895,0.19048202037811302,0.44447951950132863
Czech Republic,6.8520998954772905,7.03416538238525,0.7137001156806949,0.178068101406097,1.26905596256256,0.9201909899711609,0.623505175113678,1.2082970142364515,0.42078331112861606,-0.12414502911269681,0.4439369328320026
Denmark,7.60010004043579,7.648785591125491,0.821422636508942,0.20605280995369,1.38343858718872,0.996018886566162,0.7638969421386719,1.26540693640709,0.6324784755706789,0.13395642209798123,0.2805403172969815
Dominican Republic,5.42530012130737,5.4332156181335405,0.744871854782104,0.29140302538871804,1.0154225826263399,0.778674066066742,0.6817672699689865,1.1317313611507425,0.42177101969718894,-0.01900904625654249,0.431838795542717
Ecuador,6.0275998115539595,6.12801027297974,0.876474916934967,0.328171044588089,0.911792278289795,0.867575824260712,0.6834348440170285,1.0817253291606923,0.40208518505096397,0.0111075341701505,0.45900302380323427
El Salvador,6.253099918365481,6.27624607086182,0.871536493301392,0.265370607376099,0.794248342514038,0.7887281179428101,0.6466824412345891,1.0328030586242685,0.32399204373359697,-0.001851126551628099,0.4504892230033876
Estonia,5.893499851226809,6.091302394866941,0.794730246067047,0.163182109594345,1.23682761192322,0.8742032051086429,0.6903875023126604,1.230263739824293,0.42020258307457,-0.02080614864826201,0.3907477259635925
Ethiopia,4.28579998016357,4.37926244735718,0.659520864486694,0.271753966808319,0.33641579747199996,0.531869947910309,0.5422361344099045,0.8866105079650856,0.875270962715149,0.12596102617681015,0.449855774641037
Finland,7.76889991760254,7.8581070899963406,0.781546413898468,0.181780651211739,1.3402428627014198,0.9861449599266049,0.766851365566254,1.2747153937816635,0.5551022291183471,0.010486632585525513,0.295758776366711
France,6.59210014343262,6.66590356826782,0.767313420772552,0.28245136141777,1.32393133640289,1.04540932178497,0.625961363315582,1.1967574656009685,0.380547434091568,-0.015235915780067492,0.38248241692781393
Gabon,4.7992000579834,4.78300905227661,0.640691637992859,0.41766098141670205,1.05665349960327,0.571186661720276,0.5069025158882146,0.983855485916139,0.31137371063232394,-0.08732164092361905,0.4387455824762582
Gambia,4.51630020141602,4.92209911346436,0.8040121793746949,0.37920770049095204,0.30781331658363303,0.4279957115650179,0.5504898875951765,0.8119294941425325,0.757543444633484,0.26864105463028,0.42909993231296545
Georgia,4.51910018920898,4.65909719467163,0.572953462600708,0.243778914213181,0.8858687281608578,0.752379715442657,0.5606332570314405,0.641434282064438,0.30000618100166304,-0.0880456175655126,0.45933484286069853
Germany,6.985000133514401,7.11836433410645,0.780280411243439,0.243214577436447,1.37257170677185,0.986962854862213,0.686082348227501,1.1868735253810865,0.592990577220917,0.1458351174369456,0.3803264796733855
Greece,5.286699771881099,5.409289360046389,0.665699064731598,0.25500658154487604,1.18132901191711,0.999310970306396,0.31576417759060843,0.9748752117156974,0.15704865753650699,-0.1681922674179075,0.4473633654415606
Guatemala,6.436200141906741,6.626591682434079,0.871362030506134,0.262411266565323,0.800257503986359,0.74579131603241,0.722171813249588,1.0552922487258896,0.457064419984818,0.0819722344167529,0.42164538055658346
Guinea,4.53439998626709,5.2522268295288095,0.7438810467720028,0.44043830037117,0.379844725131989,0.37532520294189503,0.5317733287811279,0.7295793890953065,0.5917237401008609,0.15327690169215197,0.43236017599701876
Haiti,3.59689998626709,3.6149280071258505,0.584113299846649,0.358720034360886,0.32293105125427196,0.44938337802887,0.3086614087224007,0.613148480653763,0.36789664626121504,0.42024211585521704,0.4153417982161045
Honduras,5.860400199890139,5.908423900604251,0.87184464931488,0.287357896566391,0.642393231391907,0.8281154632568359,0.6896521747112275,1.0316145420074485,0.39891368150711104,0.1757040210068225,0.44094667956233036
India,4.01520013809204,3.81806874275208,0.6572871804237371,0.357458084821701,0.7549120187759399,0.5876707434654239,0.694051995873451,0.7014893889427185,0.753280878067017,0.1356545872986316,0.44498928263783455
Indonesia,5.1923999786377,5.340295791625981,0.8637178540229801,0.29598680138588,0.930590987205505,0.660217761993408,0.684996694326401,1.0059915184974655,0.837602734565735,0.49875614047050454,0.4481083936989308
Iran,4.5479998588562,4.278117656707759,0.5531966090202329,0.49314889311790505,1.0999615192413301,0.7853391170501709,0.45410433411598194,0.7579143643379209,0.5499407052993771,0.15726746991276738,0.4142032973468305
Ireland,7.021100044250491,6.962335586547849,0.810857236385345,0.21305006742477398,1.4992182254791298,0.999311447143555,0.6885451972484585,1.245564818382262,0.618405282497406,0.2190176025032995,0.33622625470161394
Israel,7.13870000839233,6.927178859710691,0.6634896397590639,0.282062560319901,1.27583968639374,1.02896904945374,0.5476192981004715,1.182118922471999,0.422329723834991,0.1570123601704836,0.42612767964601533
Italy,6.2234001159667995,6.5165266990661594,0.6490230560302729,0.40297535061836204,1.2944240570068402,1.03882539272308,0.44039585441350954,1.2003381550312024,0.206626191735268,0.06724936328828324,0.4588413545861841
Ivory Coast,4.94379997253418,5.26837491989136,0.682098388671875,0.385631382465363,0.569262862205505,0.23180216550827,0.5322138220071795,0.7141944766044619,0.535438716411591,0.05847539193928245,0.44067384302616136
Japan,5.88609981536865,5.793575286865231,0.7033550143241879,0.18530015647411302,1.3265050649642902,1.08821773529053,0.609215840697289,1.1525145769119254,0.384880393743515,-0.10205983370542521,0.41350014507770544
Kazakhstan,5.808800220489499,6.00763607025146,0.69319874048233,0.161542281508446,1.1734730005264298,0.729368388652802,0.6250187903642656,1.222185909748079,0.615031957626343,0.018577955663204485,0.46004834771156305
Kenya,4.50860023498535,4.65570259094238,0.7591028809547421,0.23692077398300196,0.511650919914246,0.5810726284980771,0.626027002930641,0.844888091087341,0.675367295742035,0.33952248096466053,0.44886943697929366
Kosovo,6.099999904632571,6.39182567596436,0.778271317481995,0.17024846374988598,0.8823586106300351,0.7582644820213321,0.689602121710777,1.0274270772933947,0.34754654765129106,0.262007534503937,0.4642622356768696
Kyrgyzstan,5.26070022583008,5.29738330841064,0.763270556926727,0.203300148248672,0.550570547580719,0.722674071788788,0.7263537049293519,1.168011009693146,0.49706554412841797,0.29389613866806,0.4650765936821697
Latvia,5.93970012664795,5.9011540412902805,0.585233271121979,0.191870555281639,1.1868281364440902,0.8116096258163449,0.4363055527210235,1.1889918446540815,0.19716230034828197,-0.07103800401091562,0.4314062632620337
Lebanon,5.19729995727539,5.1671867370605495,0.46388077735900896,0.270688891410828,0.9868870973587041,0.814914524555206,0.4113978445529935,1.026783466339109,0.219074845314026,0.04987291991710641,0.46701102145016216
Liberia,3.9753000736236603,4.13485288619995,0.659731566905975,0.436099499464035,0.0729223489761353,0.44301465153694203,0.567736029624939,0.8243333995342255,0.7039120197296139,0.16459048911929133,0.4503987859934567
Lithuania,6.14900016784668,6.30887889862061,0.516805112361908,0.21355971693992604,1.23821127414703,0.8180915117263791,0.49517251551151253,1.2223116755485555,0.323758095502853,-0.09916883148252967,0.4467785060405731
Luxembourg,7.0903000831604,7.24263095855713,0.7503094673156742,0.20189434289932298,1.60876154899597,1.0124820470809899,0.7050460875034331,1.1904995739459976,0.755200862884521,0.0844021681696178,0.350421339273453
Macedonia,5.27360010147095,5.23983478546143,0.590138077735901,0.29835286736488303,0.9831213951110841,0.8379313945770259,0.5448254942893985,1.0714170038700104,0.396141588687897,0.0722426213324069,0.47194451652467234
Madagascar,3.93269991874695,4.07058668136597,0.7523410320281979,0.36201381683349604,0.274075627326965,0.5545480251312261,0.349633388221264,0.7908100187778471,0.44230592250823997,0.08734346809796985,0.46482931077480333
Malawi,3.40980005264282,3.33463358879089,0.586300432682037,0.36489403247833296,0.190973341464996,0.495386093854904,0.621170222759247,0.543990105390549,0.572984874248505,0.14157819375395783,0.42757379636168463
Malaysia,5.338799953460691,5.3388175964355495,0.824454665184021,0.200366735458374,1.22058951854706,0.8280950784683231,0.6913577914237975,0.980304360389708,0.732398390769958,0.1864720992743965,0.45921372249722486
Mali,4.39039993286133,4.41572952270508,0.770017266273499,0.369648188352585,0.38486212491989097,0.30786097049713107,0.532258853316307,0.8982895910739894,0.510795414447784,0.06058995611965664,0.42251615598797815
Malta,6.7255997657775906,6.909710884094241,0.7212244272232059,0.295698791742325,1.2999410629272499,0.999311447143555,0.745817214250565,1.2256152927875545,0.7577136754989621,0.3753362596035,0.37296074628829956
Mauritania,4.49030017852783,4.31361532211304,0.6633824706077579,0.275557994842529,0.5696346163749689,0.48874542117118797,0.26633190736174606,0.9844085872173334,0.25839415192604104,0.0050663501024247465,0.3993424586951731
Mauritius,5.88819980621338,5.88174057006836,0.773951649665833,0.157993257045746,1.1198236942291298,0.798438787460327,0.6825244426727295,1.1552514135837546,0.6192511320114139,0.06658373028039949,0.4223894383758307
Mexico,6.59450006484985,6.549578666687009,0.881713449954987,0.21325436234474202,1.0697900056839,0.861113786697388,0.624659150838852,1.0905723273754135,0.294568479061127,-0.054136846214532845,0.44067261368036276
Moldova,5.52850008010864,5.6822772026062,0.581714630126953,0.270072460174561,0.6853842735290531,0.7392638921737671,0.5345461815595625,1.1100359261035915,0.237631857395172,0.0734345987439154,0.464359939098358
Mongolia,5.28539991378784,5.464622974395749,0.6541250348091129,0.19189029932022103,0.9478237628936771,0.6667638421058649,0.506039634346962,1.2360761761665366,0.27037131786346397,0.137972494587302,0.44323430024087423
Montenegro,5.5229001045227095,5.6501898765564,0.589933156967163,0.35493525862693803,1.05055344104767,0.8708985447883609,0.41168398410081847,1.10834935307503,0.39849916100502,0.04677738808095436,0.42443788796663295
Mozambique,4.46619987487793,4.653713703155519,0.6396395564079279,0.3972787261009221,0.20364461839199102,0.39012670516967796,0.69518581032753,0.862071305513382,0.832037925720215,0.12547012045979525,0.4144909754395485
Myanmar,4.36040019989014,4.4106330871582005,0.776950597763062,0.300140351057053,0.7098601460456851,0.5546796917915339,0.7157618999481201,0.9771879613399503,0.8787526488304142,0.517894774675369,0.409462995827198
Namibia,4.63920021057129,4.83408784866333,0.7393869757652279,0.24024908244609802,0.878536760807037,0.477468967437744,0.5773997604846954,1.088505208492281,0.6244677901268011,-0.0528327859938143,0.45108199678361416
Nepal,4.912700176239009,4.910086631774901,0.536977708339691,0.386792421340942,0.44560432434082003,0.6773421764373779,0.604694128036499,0.9969511926174154,0.648398160934448,0.20873794704675697,0.4154404997825622
Netherlands,7.48759984970093,7.463097095489499,0.8619766235351559,0.204794183373451,1.3960204124450701,0.9993137121200558,0.738530188798904,1.2306732833385465,0.656541049480438,0.23898803442716599,0.334267929196358
New Zealand,7.307499885559079,7.370285987854,0.8453626036643979,0.16795144975185403,1.30258631706238,1.02563524246216,0.7672233283519745,1.2555483281612374,0.6424612402915949,0.22329635918140395,0.29343058168888103
Nicaragua,6.10500001907349,5.8189525604248,0.792649328708649,0.408349841833115,0.6938825249671939,0.834705114364624,0.6158415228128435,1.0894027352333064,0.34346687793731706,0.10116820537950842,0.42010290920734394
Niger,4.62750005722046,5.16400718688965,0.7705576419830319,0.502554535865784,0.138063475489616,0.365629971027374,0.554521471261978,0.6928139626979826,0.747923851013184,0.1055038450285791,0.3697553761303425
Nigeria,5.264599800109861,5.2522883415222195,0.805261850357056,0.256469875574112,0.696423470973969,0.245146557688713,0.6079431474208831,0.9259475171565994,0.451740950345993,0.09727949462831023,0.4532134905457496
North Cyprus,5.717700004577639,5.60805606842041,0.480453103780746,0.261867821216583,1.26315593719482,1.0421561002731299,0.6072739958763125,1.0446733534336077,0.37832364439964294,0.19066785275936102,0.38788731396198295
Norway,7.553899765014651,7.444262027740481,0.827414035797119,0.21186237037181896,1.48776698112488,1.0281229019165001,0.7819644212722779,1.273755133152008,0.6795029640197751,0.17351634055376056,0.3045424818992615
Pakistan,5.65299987792969,5.471553802490231,0.567294776439667,0.376706063747406,0.676521182060242,0.535022735595703,0.5429178923368451,0.7856659889221195,0.5893884897232061,0.13694776780903334,0.44837265089154243
